Dataset,Regularization,Imbalance,Accuracy,F1,Precision,Recall,PR-AUC
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L1 (Lasso),None,0.8048,0.0467,1.0,0.0239,0.4334
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L1 (Lasso),SMOTE,0.6439,0.3292,0.2641,0.437,0.4226
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L1 (Lasso),Weighted,0.6678,0.3414,0.2829,0.4304,0.4216
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L2 (Ridge),None,0.8052,0.0508,1.0,0.0261,0.4324
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L2 (Ridge),SMOTE,0.643,0.3298,0.2641,0.4391,0.4221
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",L2 (Ridge),Weighted,0.6661,0.3391,0.2806,0.4283,0.4219
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",Elastic Net,None,0.8048,0.0467,1.0,0.0239,0.4332
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",Elastic Net,SMOTE,0.6435,0.3301,0.2644,0.4391,0.4221
"DS1 — Epileptic Seizure (UCI, 178 EEG features)",Elastic Net,Weighted,0.6648,0.3382,0.2794,0.4283,0.4218
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L1 (Lasso),None,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L1 (Lasso),SMOTE,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L1 (Lasso),Weighted,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L2 (Ridge),None,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L2 (Ridge),SMOTE,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",L2 (Ridge),Weighted,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",Elastic Net,None,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",Elastic Net,SMOTE,1.0,1.0,1.0,1.0,1.0
"DS2 — Clinical Features (EEG_FREE, 33 clinical)",Elastic Net,Weighted,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L1 (Lasso),None,0.975,0.9756,0.9524,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L1 (Lasso),SMOTE,0.975,0.9756,0.9524,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L1 (Lasso),Weighted,0.975,0.9756,0.9524,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L2 (Ridge),None,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L2 (Ridge),SMOTE,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",L2 (Ridge),Weighted,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",Elastic Net,None,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",Elastic Net,SMOTE,1.0,1.0,1.0,1.0,1.0
"DS3 — Statistical EEG (newfeature, 11 stats)",Elastic Net,Weighted,1.0,1.0,1.0,1.0,1.0
